	sequences per sample	iteration	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc16	515rcbc29	515rcbc9	515rcbc14	515rcbc19	515rcbc28	515rcbc10	515rcbc8	515rcbc25	515rcbc36	515rcbc32
alpha_rarefaction_10399_6.txt	10399	6	2349.82673267	2609.49819495	2480.77375566	2451.99668874	2498.98972603	2308.89312977	2360.34375	2337.83333333	2938.92253521	2531.35	2676.0037037	2477.10780669	2633.04234528	2497.1402214	2059.17045455	2676.0	2615.25	2770.28246753	2656.875	2285.625	2816.23076923	2635.67266187	2372.57295374	2646.15224913	2366.01746725	2132.05434783	2176.6848249
alpha_rarefaction_10399_7.txt	10399	7	2320.17142857	2600.07692308	2509.20524017	2633.62413793	2576.56270096	2314.56981132	2117.11522634	2483.24513619	2720.2970297	2501.32631579	2642.20938628	2350.04048583	2715.67753623	2430.37328767	2137.57587549	2687.27956989	2933.0106383	2816.00967742	2590.27083333	2354.68181818	2832.09259259	2490.78731343	2560.53068592	2501.29573171	2214.11965812	2222.44964029	2155.12267658
alpha_rarefaction_10399_8.txt	10399	8	2253.06382979	2781.72151899	2370.23387097	2623.93581081	2622.1259542	2436.30769231	2398.08108108	2333.76923077	2808.4	2744.76779026	2725.312	2537.8365019	2686.79710145	2525.98076923	2122.4940239	2564.02040816	2676.51	2757.88461538	2561.56597222	2396.92	2937.4502924	2633.81395349	2402.29323308	2633.48534202	2159.91869919	2306.95132743	2433.43514644
alpha_rarefaction_10399_9.txt	10399	9	2210.54201681	2663.22426471	2404.69879518	2395.42434211	2647.93065693	2245.02371542	2422.00529101	2323.02197802	2773.46153846	2612.40925267	2631.28424658	2430.44664032	2793.77854671	2396.91385768	2178.90588235	2465.90592334	2808.5	2770.53608247	2680.08965517	2303.74531835	2882.31730769	2576.0212766	2677.00425532	2544.46341463	2255.35682819	2274.37903226	2230.53036437
alpha_rarefaction_20788_0.txt	20788	0	2683.70967742	3107.45967742	2936.775	3241.95054945	3144.96987952	2819.37820513	2775.6462585	2927.06818182	3136.13580247	3253.77742947	3204.24471299	2948.11178248	3320.55645161	2878.59036145	2609.72043011	3051.61684783	3290.44919786	3560.02601156	3089.13333333	2968.3902439	3522.44109589	3027.26136364	3285.6595092	3119.7434555	2786.57664234	2538.08433735	2799.27075812
alpha_rarefaction_20788_1.txt	20788	1	2676.84926471	3175.29110512	2913.94311377	3153.87719298	3157.47928994	2865.91544118	2773.71617162	2958.44642857	3200.42857143	3108.09482759	3229.22522523	3051.12618297	3245.35483871	2948.97546012	2512.5	3171.27808989	3345.50670241	3343.07238606	3133.85119048	2888.8778135	3489.14030612	3107.78309859	3173.05617978	3098.2407932	2602.01277955	2650.12640449	2767.78217822
alpha_rarefaction_20788_2.txt	20788	2	2740.68100358	3125.27808989	2758.97196262	3187.70623145	3298.84227129	2837.51612903	2763.33684211	3027.28526646	3192.27777778	3258.66172107	3195.856	2920.49557522	3301.28846154	2973.36656891	2558.05	3303.91853933	3346.75815217	3601.35734072	3059.80691643	2809.61846154	3434.37179487	3098.22727273	3126.16463415	3104.47411444	2729.91401274	2573.45945946	2729.25961538
alpha_rarefaction_20788_3.txt	20788	3	2515.42902208	3136.21917808	3001.62622951	3172.39316239	3328.76012461	2902.75700935	2782.46236559	2899.40652819	3188.2539267	3391.67307692	3216.66871166	3035.27607362	3181.88679245	2885.49689441	2729.43703704	3108.12465374	3259.72131148	3426.85714286	2882.80147059	2691.6637931	3624.01639344	2947.83102493	3218.52336449	3069.15469613	2723.92413793	2814.56953642	2767.82758621
alpha_rarefaction_20788_4.txt	20788	4	2632.93877551	3176.86206897	2889.83081571	3134.96581197	3265.5	2920.49074074	2872.64	2905.70967742	3204.2152231	3191.55932203	3212.84210526	2936.29850746	3362.87463557	2954.60285714	2828.575	3274.74852071	3320.03089888	3456.14095745	2972.02659574	2806.16513761	3496.56511057	3100.85173502	3062.75280899	3198.44897959	2732.42105263	2730.86538462	2869.66782007
alpha_rarefaction_20788_5.txt	20788	5	2699.83636364	3181.91803279	2885.57877814	3190.84210526	3142.2228739	2884.52229299	2969.30769231	2943.7808642	3239.04663212	3154.88855422	3248.7808642	3036.56923077	3292.99721448	2990.35207101	2670.26712329	3240.51724138	3186.3197832	3462.65070423	2996.94736842	3007.55882353	3462.01534527	3084.68857143	2921.66478873	3094.80662983	2743.80677966	2504.3539823	2906.84589041
