	sequences per sample	iteration	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc16	515rcbc29	515rcbc9	515rcbc14	515rcbc19	515rcbc28	515rcbc10	515rcbc8	515rcbc25	515rcbc36	515rcbc32
alpha_rarefaction_10399_9.txt	10399	9	85.93585	94.01771	91.93313	88.65753	91.78616	85.77677	84.15353	89.9195	97.97649	94.50708	94.70821	89.86881	95.87476	90.84884	87.03808	93.06139	96.03028	99.56311	97.46347	89.36879	100.68395	94.15525	89.81882	92.95945	84.30659	83.822	85.74095
alpha_rarefaction_20788_0.txt	20788	0	106.02861	114.10665	113.04454	112.24426	112.91255	105.67964	106.33124	108.83246	120.52624	115.76548	113.69589	111.6544	116.92623	109.60283	103.4032	113.77478	115.97133	120.96446	115.17457	108.50146	122.29277	115.43998	113.17794	116.31337	100.65821	102.93164	104.84757
alpha_rarefaction_20788_1.txt	20788	1	104.95254	115.04539	111.80974	109.99746	111.06038	105.21558	106.07447	109.54715	118.29864	114.87039	114.9017	113.16238	116.38858	110.8016	104.39059	115.8115	114.44082	119.05679	115.30313	109.47752	123.72486	115.7136	113.60754	115.32616	99.96728	103.87314	106.11375
alpha_rarefaction_20788_2.txt	20788	2	106.13697	113.72919	110.58493	111.33884	112.08543	105.87836	103.32004	110.16568	118.79818	117.55511	115.38189	110.74397	118.01439	110.70854	103.55999	118.09145	115.12269	123.61938	115.29944	107.95463	123.22372	115.64806	110.55917	115.25291	103.53372	102.15809	104.71078
alpha_rarefaction_20788_3.txt	20788	3	105.5969	116.074	109.76381	112.79727	114.0298	109.10677	103.86172	111.29482	117.93397	118.04098	114.24126	112.75843	117.37362	109.07329	103.39809	115.27877	116.26307	122.79148	116.31628	107.99823	120.46899	113.28164	112.22455	114.56534	101.89979	102.93591	105.45796
alpha_rarefaction_20788_4.txt	20788	4	105.40905	115.44084	111.70081	111.62811	112.25342	107.9876	105.14724	109.23921	119.07778	117.2807	113.65921	111.8219	116.1017	111.64436	105.88807	116.8315	113.66622	122.7111	115.15682	108.37305	122.67556	112.84203	112.08443	116.29068	100.96378	103.12618	102.71864
alpha_rarefaction_20788_5.txt	20788	5	105.06415	116.14138	110.31913	111.50129	112.39861	108.50283	105.25506	110.23923	118.32417	115.16222	113.12986	111.78159	115.13418	111.38203	105.9889	115.99201	114.52609	120.87889	115.66643	111.20884	122.86849	116.33143	109.25943	115.76894	103.25824	102.16746	106.2378
alpha_rarefaction_20788_6.txt	20788	6	104.58017	112.97843	111.03254	109.43526	112.30406	105.66371	105.66785	108.50924	119.95246	114.82503	112.85643	113.89673	114.39047	110.90397	104.43415	115.44714	114.78971	121.34223	114.91259	108.27879	124.66259	114.06447	111.06748	114.44519	102.00879	102.89208	105.72548
alpha_rarefaction_20788_7.txt	20788	7	105.80857	117.32375	110.31834	113.29301	114.47738	109.85239	103.53674	110.29753	117.50597	120.81025	115.15012	110.50162	115.68515	111.08546	103.6942	114.79024	116.30379	123.87902	114.59958	111.16806	120.77844	112.76128	112.72714	114.63287	101.19356	101.38367	105.74237
alpha_rarefaction_20788_8.txt	20788	8	104.53733	116.09974	108.22423	111.37975	112.35158	103.87609	104.53048	110.09863	117.91141	116.17241	114.40441	110.96279	114.96733	110.05733	105.14837	115.65483	114.56258	124.38784	115.05943	108.91269	121.58672	113.62091	111.71874	115.0971	102.14429	102.93582	104.68787
alpha_rarefaction_20788_9.txt	20788	9	107.11948	113.12541	112.74758	114.55525	114.44661	108.12038	106.35193	109.10534	118.70837	118.24559	115.05814	115.77108	115.1997	112.22411	106.01813	116.43813	115.57565	121.17991	115.3825	110.88587	122.54658	114.83174	110.26414	115.61174	102.4064	103.37768	102.95559
alpha_rarefaction_31177_0.txt	31177	0	117.1419	129.19286	121.62936	125.5518	125.43481	116.77141	116.08091	120.2217	131.45631	128.61988	127.08987	126.00913	129.59547	120.32631	115.08128	129.81142	127.24839	134.33009	127.97326	118.02092	134.28608	128.19679	123.20592	127.29688	113.36161	113.60344	114.13769
alpha_rarefaction_31177_1.txt	31177	1	114.88449	128.49461	122.6738	123.24023	123.91802	116.15964	118.47692	119.51473	131.58096	128.87478	125.39591	123.996	128.39361	123.50281	114.18768	128.46907	128.0118	135.6422	127.44866	119.74321	137.0299	125.70137	125.60763	127.27078	112.33732	113.57212	113.22559
alpha_rarefaction_31177_2.txt	31177	2	115.14896	129.04568	122.95389	121.16105	126.71886	116.59951	114.98808	119.72579	130.51229	127.65583	124.92273	124.85164	129.74453	120.43365	115.64748	128.31008	126.29558	137.00434	126.68197	121.51218	135.18075	127.49684	120.85588	126.90519	112.57619	114.27371	114.78836
