	shannon	simpson
515rcbc21	9.92548525627	0.997074610813
515rcbc17	10.0127254599	0.996567759052
515rcbc34	9.7964161962	0.996061533024
515rcbc33	9.58222563613	0.98689338033
515rcbc31	9.80031455491	0.993833018578
515rcbc15	10.0147589277	0.996912565056
515rcbc26	9.7138205498	0.995043417693
515rcbc22	9.91961103859	0.995471038906
515rcbc37	10.1676096142	0.997480248932
515rcbc24	9.91381343704	0.99561288447
515rcbc18	10.1513472585	0.997034472347
515rcbc35	9.48562737402	0.99446874865
515rcbc11	9.8539075392	0.993778716731
515rcbc27	10.0806535393	0.997259031706
515rcbc13	9.87099157765	0.996641590802
515rcbc9	9.77955735314	0.995074875485
515rcbc28	9.84717693834	0.995308782955
515rcbc23	10.014314894	0.99668951713
515rcbc16	9.87513830491	0.992776425639
515rcbc19	10.3167791853	0.997037497459
515rcbc29	10.2235868463	0.997056345714
515rcbc14	9.76433672905	0.993732925849
515rcbc10	9.85787497698	0.996074855109
515rcbc8	9.86588352096	0.995524130631
515rcbc25	9.51524488661	0.990302728405
515rcbc36	8.87729781799	0.991168483833
515rcbc32	9.53391097784	0.992697891744
