	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36	515rcbc32
515rcbc21	0.0	0.505175956099	0.471298051093	0.50573925479	0.556443399893	0.485444925647	0.488476915589	0.465342769291	0.508887527442	0.454963055201	0.449799574932	0.537217866046	0.552990205749	0.480641949593	0.452415726558	0.518937848792	0.494772191463	0.510512654856	0.560696413803	0.520671535976	0.510809048716	0.476669455265	0.511826617081	0.57927506908	0.616041300545	0.5721130633	0.564084128585
515rcbc17	0.505175956099	0.0	0.482686602709	0.482624652683	0.534437552541	0.49653488982	0.510238141805	0.485873396932	0.462602586311	0.4693811467	0.461483874352	0.501284890166	0.517092749379	0.45106446138	0.468239801435	0.476207557274	0.452004082482	0.472581318011	0.526854855377	0.49284309077	0.46863580067	0.474009910153	0.487288982184	0.545091809861	0.613800611359	0.580182453262	0.545604781471
515rcbc34	0.471298051093	0.482686602709	0.0	0.486595512213	0.545926227938	0.491681804653	0.453703405218	0.468501225013	0.484821326454	0.440366917931	0.422245542866	0.502252071889	0.533608594882	0.458154361024	0.450930689652	0.489770152042	0.465446880847	0.497005792856	0.542000303404	0.499891694735	0.476780556278	0.464536803796	0.481459949568	0.552423706723	0.595197273111	0.584107399095	0.541538389167
515rcbc33	0.50573925479	0.482624652683	0.486595512213	0.0	0.500627431802	0.501943517918	0.537150626125	0.439221167412	0.445171804503	0.471656947646	0.465478856718	0.515429570195	0.459709273441	0.441768574887	0.461389364124	0.45696030768	0.432043479926	0.448341212534	0.477305682282	0.456016257359	0.449397824898	0.429804507028	0.462507850388	0.490991495398	0.541923107007	0.527291576157	0.478384606803
515rcbc31	0.556443399893	0.534437552541	0.545926227938	0.500627431802	0.0	0.554245892739	0.584702378863	0.52581773077	0.48833735067	0.527891638084	0.5265705026	0.54572783776	0.454669098474	0.494792755573	0.516609130187	0.485744259589	0.499547195293	0.479593276826	0.440253787695	0.469165661984	0.507884930325	0.519202503848	0.481954713436	0.478928748694	0.550737775417	0.507241693665	0.479617818216
515rcbc15	0.485444925647	0.49653488982	0.491681804653	0.501943517918	0.554245892739	0.0	0.512362396168	0.465399134963	0.508200440188	0.469296332861	0.473779466108	0.53762953474	0.538969112506	0.47826213401	0.465699791293	0.522116087325	0.49049233237	0.518568036019	0.551875403865	0.513977186004	0.500512955182	0.46645188579	0.519738058959	0.571071222124	0.606810197408	0.582013878296	0.558756945346
515rcbc26	0.488476915589	0.510238141805	0.453703405218	0.537150626125	0.584702378863	0.512362396168	0.0	0.514651749759	0.521030894983	0.476714355731	0.45624151132	0.513673036564	0.580636163995	0.502959946215	0.487714257797	0.52777114047	0.50486055394	0.543313378129	0.575109815838	0.545842083735	0.520268898899	0.513153994804	0.524404188264	0.598324871609	0.634655342814	0.612194970439	0.584415593788
515rcbc22	0.465342769291	0.485873396932	0.468501225013	0.439221167412	0.52581773077	0.465399134963	0.514651749759	0.0	0.471583760844	0.455017741667	0.461111445444	0.528612355596	0.502379006566	0.448999055035	0.430282981615	0.493071007709	0.450831252495	0.468793126696	0.511588115891	0.479720617318	0.469142506762	0.426594723219	0.482779379948	0.534616943983	0.555172758941	0.548163813509	0.508703686151
515rcbc37	0.508887527442	0.462602586311	0.484821326454	0.445171804503	0.48833735067	0.508200440188	0.521030894983	0.471583760844	0.0	0.45925904765	0.447178008209	0.459941402872	0.433639140052	0.430889958153	0.462959851196	0.413874282832	0.42801661801	0.414237570802	0.468275607543	0.442586919638	0.434822839903	0.451017460835	0.453150349813	0.463118362305	0.571204584077	0.522203737186	0.489282529542
515rcbc24	0.454963055201	0.4693811467	0.440366917931	0.471656947646	0.527891638084	0.469296332861	0.476714355731	0.455017741667	0.45925904765	0.0	0.412478257115	0.499395405392	0.507832318771	0.446978660998	0.431275804428	0.478019294762	0.443981253836	0.471581635208	0.52783494128	0.480513769739	0.471769673309	0.437260755302	0.486550032104	0.529706910082	0.596303366675	0.563926842702	0.522000534465
515rcbc18	0.449799574932	0.461483874352	0.422245542866	0.465478856718	0.5265705026	0.473779466108	0.45624151132	0.461111445444	0.447178008209	0.412478257115	0.0	0.478144562753	0.515560509908	0.437543189189	0.4303583002	0.45488644501	0.430570911793	0.460924111132	0.520817754066	0.474100516226	0.452376708827	0.445929774256	0.468619494986	0.524443412131	0.59568323701	0.562475199264	0.530541488284
515rcbc35	0.537217866046	0.501284890166	0.502252071889	0.515429570195	0.54572783776	0.53762953474	0.513673036564	0.528612355596	0.459941402872	0.499395405392	0.478144562753	0.0	0.524624345221	0.485986531574	0.505767267032	0.476536728525	0.480695965672	0.487776825707	0.53743062509	0.506484555869	0.495256108913	0.509883675289	0.48677989226	0.53803071187	0.617567598681	0.570884838803	0.541526057526
515rcbc11	0.552990205749	0.517092749379	0.533608594882	0.459709273441	0.454669098474	0.538969112506	0.580636163995	0.502379006566	0.433639140052	0.507832318771	0.515560509908	0.524624345221	0.0	0.471275874269	0.505315928516	0.441212565546	0.464176831005	0.442042343301	0.43311515955	0.449774004412	0.468494204351	0.488095837767	0.472903068975	0.420122023863	0.519088946329	0.500056212171	0.438254041767
515rcbc27	0.480641949593	0.45106446138	0.458154361024	0.441768574887	0.494792755573	0.47826213401	0.502959946215	0.448999055035	0.430889958153	0.446978660998	0.437543189189	0.485986531574	0.471275874269	0.0	0.425866227291	0.437903288771	0.415308405088	0.429113593471	0.490871957368	0.458502610777	0.448169604849	0.430313611699	0.444176505886	0.507321846001	0.581042912693	0.527506586827	0.519768166804
515rcbc13	0.452415726558	0.468239801435	0.450930689652	0.461389364124	0.516609130187	0.465699791293	0.487714257797	0.430282981615	0.462959851196	0.431275804428	0.4303583002	0.505767267032	0.505315928516	0.425866227291	0.0	0.466695455657	0.432146209891	0.453125947362	0.510196251752	0.474685730277	0.477156768164	0.425784408008	0.471840958963	0.521716649102	0.58023823869	0.54488358568	0.507861793503
515rcbc9	0.518937848792	0.476207557274	0.489770152042	0.45696030768	0.485744259589	0.522116087325	0.52777114047	0.493071007709	0.413874282832	0.478019294762	0.45488644501	0.476536728525	0.441212565546	0.437903288771	0.466695455657	0.0	0.446544150913	0.412520621393	0.468059386499	0.444213466137	0.440159601907	0.460977142253	0.439492616722	0.459038630254	0.565583295653	0.515943883191	0.489326472149
515rcbc28	0.494772191463	0.452004082482	0.465446880847	0.432043479926	0.499547195293	0.49049233237	0.50486055394	0.450831252495	0.42801661801	0.443981253836	0.430570911793	0.480695965672	0.464176831005	0.415308405088	0.432146209891	0.446544150913	0.0	0.417719583907	0.484597606632	0.457153926217	0.444421909458	0.42596355833	0.463158653844	0.498592968098	0.559114985804	0.542131699325	0.499844319917
515rcbc23	0.510512654856	0.472581318011	0.497005792856	0.448341212534	0.479593276826	0.518568036019	0.543313378129	0.468793126696	0.414237570802	0.471581635208	0.460924111132	0.487776825707	0.442042343301	0.429113593471	0.453125947362	0.412520621393	0.417719583907	0.0	0.448105771368	0.443520618715	0.450574015521	0.449090517601	0.444005906054	0.464223782508	0.553485742541	0.509160407787	0.483396060951
515rcbc16	0.560696413803	0.526854855377	0.542000303404	0.477305682282	0.440253787695	0.551875403865	0.575109815838	0.511588115891	0.468275607543	0.52783494128	0.520817754066	0.53743062509	0.43311515955	0.490871957368	0.510196251752	0.468059386499	0.484597606632	0.448105771368	0.0	0.455769140785	0.478521266667	0.500022085983	0.468108499856	0.449639731092	0.514540963149	0.505602400609	0.448326842438
515rcbc19	0.520671535976	0.49284309077	0.499891694735	0.456016257359	0.469165661984	0.513977186004	0.545842083735	0.479720617318	0.442586919638	0.480513769739	0.474100516226	0.506484555869	0.449774004412	0.458502610777	0.474685730277	0.444213466137	0.457153926217	0.443520618715	0.455769140785	0.0	0.457943675342	0.459045034558	0.44741028646	0.47191225679	0.545606495295	0.500502884781	0.458290558549
515rcbc29	0.510809048716	0.46863580067	0.476780556278	0.449397824898	0.507884930325	0.500512955182	0.520268898899	0.469142506762	0.434822839903	0.471769673309	0.452376708827	0.495256108913	0.468494204351	0.448169604849	0.477156768164	0.440159601907	0.444421909458	0.450574015521	0.478521266667	0.457943675342	0.0	0.455712748118	0.466765743425	0.497219285741	0.562465548203	0.540310256103	0.507694069914
515rcbc14	0.476669455265	0.474009910153	0.464536803796	0.429804507028	0.519202503848	0.46645188579	0.513153994804	0.426594723219	0.451017460835	0.437260755302	0.445929774256	0.509883675289	0.488095837767	0.430313611699	0.425784408008	0.460977142253	0.42596355833	0.449090517601	0.500022085983	0.459045034558	0.455712748118	0.0	0.481428622721	0.52514995562	0.569204262003	0.540074703551	0.50443590159
515rcbc10	0.511826617081	0.487288982184	0.481459949568	0.462507850388	0.481954713436	0.519738058959	0.524404188264	0.482779379948	0.453150349813	0.486550032104	0.468619494986	0.48677989226	0.472903068975	0.444176505886	0.471840958963	0.439492616722	0.463158653844	0.444005906054	0.468108499856	0.44741028646	0.466765743425	0.481428622721	0.0	0.484206490904	0.565188259971	0.521206172658	0.48832645558
515rcbc8	0.57927506908	0.545091809861	0.552423706723	0.490991495398	0.478928748694	0.571071222124	0.598324871609	0.534616943983	0.463118362305	0.529706910082	0.524443412131	0.53803071187	0.420122023863	0.507321846001	0.521716649102	0.459038630254	0.498592968098	0.464223782508	0.449639731092	0.47191225679	0.497219285741	0.52514995562	0.484206490904	0.0	0.519193983931	0.518785346391	0.444210888487
515rcbc25	0.616041300545	0.613800611359	0.595197273111	0.541923107007	0.550737775417	0.606810197408	0.634655342814	0.555172758941	0.571204584077	0.596303366675	0.59568323701	0.617567598681	0.519088946329	0.581042912693	0.58023823869	0.565583295653	0.559114985804	0.553485742541	0.514540963149	0.545606495295	0.562465548203	0.569204262003	0.565188259971	0.519193983931	0.0	0.575088372952	0.47045852776
515rcbc36	0.5721130633	0.580182453262	0.584107399095	0.527291576157	0.507241693665	0.582013878296	0.612194970439	0.548163813509	0.522203737186	0.563926842702	0.562475199264	0.570884838803	0.500056212171	0.527506586827	0.54488358568	0.515943883191	0.542131699325	0.509160407787	0.505602400609	0.500502884781	0.540310256103	0.540074703551	0.521206172658	0.518785346391	0.575088372952	0.0	0.512048511389
515rcbc32	0.564084128585	0.545604781471	0.541538389167	0.478384606803	0.479617818216	0.558756945346	0.584415593788	0.508703686151	0.489282529542	0.522000534465	0.530541488284	0.541526057526	0.438254041767	0.519768166804	0.507861793503	0.489326472149	0.499844319917	0.483396060951	0.448326842438	0.458290558549	0.507694069914	0.50443590159	0.48832645558	0.444210888487	0.47045852776	0.512048511389	0.0
