	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36	515rcbc32
515rcbc21	0.0	0.234690765745	0.208863136391	0.231756310247	0.269645418439	0.248651731723	0.236957019289	0.158711704131	0.227720102774	0.221422433424	0.184637290654	0.299055415401	0.260953202967	0.199060268074	0.148175312627	0.249505575891	0.225250225294	0.271752212687	0.266720712333	0.233846382139	0.219611509467	0.223938868975	0.20663355483	0.279950185804	0.348343227268	0.477167426083	0.272342603534
515rcbc17	0.234690765745	0.0	0.137698045008	0.167878683931	0.276277045362	0.145737469117	0.212754667882	0.195407472914	0.193109916717	0.151617070676	0.120365076448	0.266215830802	0.260422059032	0.169343814297	0.229759334751	0.189847950081	0.185329829131	0.263329375759	0.233071153048	0.24016992583	0.142510601458	0.209067210662	0.209218932766	0.285731725648	0.32594758708	0.460228474838	0.301134116545
515rcbc34	0.208863136391	0.137698045008	0.0	0.189655454638	0.299026222408	0.170579755721	0.144250015948	0.204216230761	0.213129570676	0.136973221699	0.0982325336675	0.233100620443	0.278707353433	0.193812511391	0.214397787313	0.199190607787	0.203979104901	0.29393591611	0.256838661401	0.260613386999	0.166201559083	0.227880517922	0.225482763518	0.297541033313	0.35517991368	0.493189998987	0.308168910237
515rcbc33	0.231756310247	0.167878683931	0.189655454638	0.0	0.240733499646	0.209983609002	0.263576755012	0.147998369785	0.190239456258	0.189331872975	0.17201859432	0.301333913781	0.202188002987	0.172130059488	0.224699051995	0.203111947904	0.179948661401	0.25584162743	0.198178396112	0.207278951499	0.169240265543	0.168518947955	0.196918587738	0.244232599737	0.245703390796	0.450085559943	0.228267423299
515rcbc31	0.269645418439	0.276277045362	0.299026222408	0.240733499646	0.0	0.325278607736	0.345658467497	0.231291726154	0.191810051893	0.283390187323	0.287277478736	0.321136253038	0.121265951802	0.223235540198	0.225272658465	0.224131702106	0.245948596345	0.237558184488	0.167621198107	0.135302171679	0.244840508303	0.258001192031	0.198260790806	0.199570587535	0.284559779263	0.382395817386	0.182217459498
515rcbc15	0.248651731723	0.145737469117	0.170579755721	0.209983609002	0.325278607736	0.0	0.245995840928	0.214347920464	0.237564568398	0.192024998481	0.156209176792	0.300593521162	0.307147679729	0.199845008607	0.235203907959	0.270999087181	0.257423248026	0.314929610166	0.298225808273	0.290993924919	0.209672993621	0.242885244785	0.268259216788	0.329529354749	0.345259626367	0.492153622671	0.340817416464
515rcbc26	0.236957019289	0.212754667882	0.144250015948	0.263576755012	0.345658467497	0.245995840928	0.0	0.248107635936	0.272920524757	0.153809858748	0.160427363811	0.225690362495	0.329135146314	0.265338383961	0.251661074322	0.229448442183	0.22959786933	0.325033035136	0.302129467143	0.302416923096	0.246701313285	0.276721819309	0.268908095383	0.332366121152	0.403363784427	0.546702845535	0.343843204232
515rcbc22	0.158711704131	0.195407472914	0.204216230761	0.147998369785	0.231291726154	0.214347920464	0.248107635936	0.0	0.179018708485	0.168086598066	0.179647414186	0.317621750962	0.200922499241	0.153478503696	0.155492754405	0.196058164996	0.154265585257	0.222619442335	0.208131856015	0.193880528554	0.17726507417	0.126294116545	0.182193696081	0.250212250911	0.282744416515	0.449668891252	0.243476998532
515rcbc37	0.227720102774	0.193109916717	0.213129570676	0.190239456258	0.191810051893	0.237564568398	0.272920524757	0.179018708485	0.0	0.200627179779	0.199320153149	0.269855190107	0.145136655275	0.146744224635	0.17966738229	0.155864177045	0.185592963751	0.174675606268	0.167649351458	0.144611129506	0.167170758657	0.194870791312	0.159307576195	0.212159110976	0.301854530427	0.39957568955	0.229844274757
515rcbc24	0.221422433424	0.151617070676	0.136973221699	0.189331872975	0.283390187323	0.192024998481	0.153809858748	0.168086598066	0.200627179779	0.0	0.137628092851	0.274620783718	0.264288766201	0.182538904415	0.202097509113	0.181119263872	0.15632831536	0.261804101863	0.250531154567	0.23984612014	0.180694894694	0.190718093611	0.233843487242	0.295926316069	0.345657968813	0.479160380468	0.303076259619
515rcbc18	0.184637290654	0.120365076448	0.0982325336675	0.17201859432	0.287277478736	0.156209176792	0.160427363811	0.179647414186	0.199320153149	0.137628092851	0.0	0.232945405529	0.271226278858	0.177714384872	0.198122353179	0.1950173952	0.191508400921	0.268686130518	0.242802635936	0.24219099762	0.150444458789	0.206779213497	0.206469654212	0.283951986887	0.32837086776	0.482443313335	0.291697199271
515rcbc35	0.299055415401	0.266215830802	0.233100620443	0.301333913781	0.321136253038	0.300593521162	0.225690362495	0.317621750962	0.269855190107	0.274620783718	0.232945405529	0.0	0.3131434032	0.292287236229	0.285576787161	0.252996846902	0.303231827916	0.331524060855	0.306776338852	0.295309863052	0.26578799109	0.33569394922	0.259242898947	0.28971518707	0.415719713953	0.535449339054	0.303317494937
515rcbc11	0.260953202967	0.260422059032	0.278707353433	0.202188002987	0.121265951802	0.307147679729	0.329135146314	0.200922499241	0.145136655275	0.264288766201	0.271226278858	0.3131434032	0.0	0.21149489115	0.220191918287	0.189448578372	0.210553951245	0.202966251013	0.128600451853	0.141216721598	0.226243281693	0.212759875709	0.180924828878	0.174867224838	0.254128000709	0.394285070119	0.156149054779
515rcbc27	0.199060268074	0.169343814297	0.193812511391	0.172130059488	0.223235540198	0.199845008607	0.265338383961	0.153478503696	0.146744224635	0.182538904415	0.177714384872	0.292287236229	0.21149489115	0.0	0.155427148137	0.201268710004	0.180461444664	0.208171782098	0.217647706308	0.18461884594	0.152768695322	0.176254181096	0.163632724281	0.26275405807	0.311498955549	0.403710223015	0.274186882847
515rcbc13	0.148175312627	0.229759334751	0.214397787313	0.224699051995	0.225272658465	0.235203907959	0.251661074322	0.155492754405	0.17966738229	0.202097509113	0.198122353179	0.285576787161	0.220191918287	0.155427148137	0.0	0.211214644087	0.194202064854	0.208575698663	0.222076764125	0.174484073258	0.205008471547	0.186382966029	0.19244893226	0.272032745798	0.336185970028	0.437640024048	0.267567954131
