	sequences per sample	iteration	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36	515rcbc32
alpha_rarefaction_3959_8.txt	3959	8	2655.81407035	3009.27522936	2620.24242424	2627.95544554	2740.91071429	2748.68075117	2617.50943396	2543.23214286	2919.33624454	2901.02439024	2693.47933884	2448.1396648	2683.33333333	2560.94537815	2398.77966102	2538.63551402	3116.00465116	2719.62790698	2873.10729614	2910.31939163	3005.54585153	2844.07692308	2517.39	2788.60089686	2467.7804878	2311.13125	2413.56730769
alpha_rarefaction_3959_9.txt	3959	9	2361.63212435	2995.31428571	2484.82038835	2825.12903226	2667.05660377	2799.325	2587.26415094	2768.00490196	3007.76315789	2844.9380531	2779.56521739	2368.76530612	2957.91346154	2738.73300971	2423.87962963	2771.69483568	2664.48085106	2560.90789474	3198.04347826	2914.03731343	3065.4	2819.04265403	2652.89497717	2620.89189189	2356.04830918	2411.32075472	2348.46341463
alpha_rarefaction_7908_0.txt	7908	0	3123.5	3881.30973451	3335.60702875	3550.125	3681.38629283	4029.03092784	3479.77777778	3669.20677966	3509.38196286	3784.14826498	3665.55072464	3553.38846154	3448.79538905	3605.69354839	3072.65048544	3628.48571429	3550.69444444	3482.50892857	3887.99380805	3976.24581006	4109.84272997	3535.0	3563.40816327	3421.26822157	3124.45454545	2760.53703704	3026.85148515
alpha_rarefaction_7908_1.txt	7908	1	3313.91970803	3817.58333333	3521.08469055	3647.24528302	3555.97196262	3847.26595745	3416.11188811	3548.25	4065.55963303	3752.81976744	3942.99380805	3259.14776632	3724.97546012	3831.15151515	3123.03460208	3449.82208589	3819.37623762	3550.81372549	3778.93195266	4042.76470588	4229.37463127	3402.978125	3559.69491525	3326.91184573	3034.33774834	2935.72413793	3371.75384615
alpha_rarefaction_7908_2.txt	7908	2	3196.87719298	3917.15217391	3459.24923077	3792.37699681	3471.00294985	3917.78164557	3697.95255474	3626.38961039	3873.46646341	3831.16878981	3577.60344828	3207.65460526	3543.3141994	3454.61075949	3280.80139373	3554.16398714	3731.68456376	3753.67647059	3738.93957704	4135.44715447	4092.18181818	3689.45762712	3424.1629393	3698.69902913	3273.80487805	2873.724	3292.14893617
alpha_rarefaction_7908_3.txt	7908	3	3238.89097744	3893.54037267	3499.88741722	3618.05128205	3723.44408946	4140.01094891	3381.52068966	3527.31402439	3910.75	3698.13414634	3861.58682635	3484.74757282	3579.52873563	3507.56287425	3152.84858044	3441.21296296	3456.91212121	3585.01923077	3680.09863014	4101.52925532	4022.796875	3551.62616822	3525.55374593	3605.52857143	3175.01010101	2946.70588235	3232.86241611
alpha_rarefaction_7908_4.txt	7908	4	3159.81350482	4139.08823529	3552.34343434	3922.43343653	3622.24148607	4121.59375	3468.77238806	3495.77245509	3735.20911528	3651.15588235	3666.55932203	3328.68707483	3694.50824176	3595.41401274	3204.50331126	3306.48979592	3821.20952381	3635.09433962	3640.55932203	4105.2300885	4089.69400631	3418.7791411	3246.784375	3531.75308642	2988.375	3128.80737705	2914.98058252
alpha_rarefaction_7908_5.txt	7908	5	3194.01980198	4204.62341772	3583.8164557	3805.01869159	3881.36842105	3779.70707071	3342.49517685	3475.08823529	3966.25671642	3587.81415929	3703.15673981	3216.83552632	3582.39616613	3477.5	3198.56748466	3357.69369369	3483.89937107	3487.38135593	3779.9054878	4192.92835821	3907.22754491	3304.4202454	3412.55	3611.29080119	3383.94463668	2896.22426471	3208.77777778
alpha_rarefaction_7908_6.txt	7908	6	3259.97111913	4289.01857585	3522.98360656	3690.62931034	3562.44654088	3666.85126582	3592.61016949	3775.13636364	3778.48732394	3647.77419355	3711.42307692	3239.12456747	3705.29268293	3377.00309598	3240.43962848	3396.08615385	3923.30639731	3365.15976331	3644.8	4054.61764706	3946.78443114	3416.15309446	3548.73426573	3587.002849	3208.37627119	3194.06410256	3262.04301075
alpha_rarefaction_7908_7.txt	7908	7	3197.21428571	3851.01818182	3669.4981685	3633.79411765	3690.88856305	3775.50853242	3298.45723684	3532.28703704	3922.51724138	3767.33038348	3487.25277778	3479.8125	3678.45426829	3610.22408027	3054.52293578	3477.91419142	3681.5408805	3834.76094276	3595.60810811	4232.94690265	3973.66964286	3583.53608247	3327.89655172	3683.41176471	3224.13636364	3034.11673152	2997.5
