	sequences per sample	iteration	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36	515rcbc32
alpha_rarefaction_3959_9.txt	3959	9	117.69786	124.01712	119.49698	119.69728	112.39478	120.30103	120.74668	126.98131	126.43873	125.33028	125.01054	111.36023	121.11963	119.35798	122.6578	121.32851	126.4573	124.09714	119.46245	127.84252	125.13228	125.41649	116.29398	122.58252	111.8503	104.16787	111.06195
alpha_rarefaction_7908_0.txt	7908	0	154.73201	161.70356	153.65769	156.51322	153.51883	158.95637	149.63927	156.12238	161.24137	162.3253	160.18577	146.55162	155.45449	154.85061	153.66489	153.09856	158.53951	159.66586	152.75001	166.38459	165.79856	157.17625	150.11583	150.48586	138.33461	128.98526	141.94086
alpha_rarefaction_7908_1.txt	7908	1	156.79783	156.24019	153.64371	158.29733	148.39065	156.25097	150.56856	158.36852	166.09511	160.87903	161.7551	142.92519	155.50106	157.07052	149.89231	155.85241	159.21508	156.06459	156.426	164.64237	167.47542	157.41914	151.40958	151.35263	138.37107	131.491	143.69536
alpha_rarefaction_7908_2.txt	7908	2	152.57795	163.69597	156.37685	157.07315	150.58152	161.53031	156.63448	159.67771	160.91941	157.48757	161.93658	148.28023	152.66418	152.63111	150.87288	155.41344	158.38452	162.31175	153.85914	171.74049	161.15627	160.5104	148.28737	153.30534	141.98598	131.12459	144.44523
alpha_rarefaction_7908_3.txt	7908	3	152.47633	164.92261	153.93684	156.00902	152.89309	155.73572	151.27204	159.61523	164.23165	158.12162	162.96383	149.4513	158.13107	156.29067	153.15835	153.81135	159.50197	156.50384	154.84212	168.83556	163.68533	162.67922	146.9744	153.06065	140.65334	134.35761	145.74947
alpha_rarefaction_7908_4.txt	7908	4	158.52057	162.59586	153.58009	157.50845	150.70885	162.5819	148.68982	158.27039	164.57819	158.25923	162.48204	149.45955	157.95773	154.80896	152.1338	156.08475	162.57681	158.17209	155.53521	165.51889	163.24996	156.61521	145.2212	154.59893	141.51019	130.86683	141.71447
alpha_rarefaction_7908_5.txt	7908	5	154.3649	167.52377	160.13725	156.27235	150.21324	155.92981	153.4966	155.99024	162.27014	159.0321	160.06048	145.73298	153.50038	152.52758	155.53117	157.29131	154.32733	160.827	154.74895	167.25882	162.94625	159.55702	145.50569	151.51044	144.13203	129.37793	142.90791
alpha_rarefaction_7908_6.txt	7908	6	154.2301	165.73765	155.89416	156.42055	152.6269	158.66206	152.65403	158.26715	162.75444	157.74524	160.35729	145.06797	158.58379	152.77298	157.08388	156.22347	160.2576	156.90822	155.14687	165.82122	163.08133	156.24219	143.10694	155.58282	143.24985	130.61842	144.6546
alpha_rarefaction_7908_7.txt	7908	7	153.84728	159.99711	154.10934	156.42334	150.34421	153.71868	151.882	156.18702	163.00211	161.26321	160.3327	143.55689	156.19179	154.17453	151.44965	151.4754	159.95791	162.72052	153.55547	169.10019	161.66928	159.64072	142.99159	152.49277	143.15082	130.27479	137.89236
alpha_rarefaction_7908_8.txt	7908	8	154.1872	160.59173	155.06253	155.76778	149.33969	160.81236	154.36384	158.80101	165.54286	158.74373	159.97827	147.86275	155.68334	153.50593	150.20006	159.16929	162.099	162.61541	151.45736	168.65758	164.02455	156.9095	148.26349	150.30855	141.59093	131.73198	140.81014
alpha_rarefaction_7908_9.txt	7908	9	153.44367	161.85457	155.44994	155.3396	150.49289	155.81861	152.6429	162.46018	164.39661	160.53546	159.57994	148.62386	155.88581	158.64266	155.63522	155.85711	161.72425	161.60184	148.58035	167.73239	167.21639	157.53622	147.17615	152.91887	140.91905	130.40162	144.32961
alpha_rarefaction_11857_0.txt	11857	0	181.40645	188.29147	180.52585	175.75108	170.90016	183.32087	173.00496	185.14516	190.45669	185.04257	186.91829	169.32803	180.77051	175.97611	171.17319	177.52114	184.58152	185.95525	176.6727	189.54116	191.43505	181.52137	164.86223	173.27238	161.70698	150.36185	159.4154
alpha_rarefaction_11857_1.txt	11857	1	180.46146	184.03628	177.91706	180.35408	172.83153	185.94121	175.94868	184.39047	190.58699	185.03749	186.03767	172.58106	179.2593	177.40376	175.8206	175.73347	181.70601	182.08537	177.27419	195.74902	188.45686	181.45412	166.71622	176.27095	162.48799	151.31923	163.02744
alpha_rarefaction_11857_2.txt	11857	2	177.60436	190.23223	176.90235	177.66048	174.09992	183.4826	168.46609	181.07655	189.3853	183.71938	186.46881	167.685	179.45051	175.70275	177.70621	177.55295	181.56285	181.70178	176.34764	196.09748	187.07083	184.11508	164.52792	175.36304	159.92179	153.72895	167.21579
alpha_rarefaction_11857_3.txt	11857	3	180.21356	192.60488	174.49218	179.62537	175.0112	186.32851	174.92349	178.58802	188.33983	186.98976	183.81776	172.17909	177.23386	177.85581	174.64169	175.85643	182.71165	178.33525	178.03782	195.21522	188.99311	183.43189	165.25768	176.69727	160.74624	152.73911	163.40306
alpha_rarefaction_11857_4.txt	11857	4	174.72094	188.77407	178.50562	180.68304	171.01398	181.40586	175.81972	183.02338	188.85198	183.04857	187.17012	169.38557	180.2835	177.79245	175.86951	175.27895	181.72487	178.91168	179.12675	193.87839	188.09909	183.18298	170.67234	173.40922	162.06165	148.46802	162.76092
